               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 127,            0.042822,            0.014418,           0.0076527,             0.97854,             0.99964,               0.995,             0.67038,            0.016177,           0.0063789,           0.0020281,            0.003763,            0.003763,            0.003763
                 128,            0.040281,             0.01608,            0.012932,             0.97854,             0.99964,               0.995,             0.67038,            0.016177,           0.0063789,           0.0020281,           0.0037135,           0.0037135,           0.0037135
                 129,            0.033388,            0.014478,            0.010402,             0.94724,                   1,               0.995,             0.85796,            0.014999,           0.0066609,           0.0028369,            0.003664,            0.003664,            0.003664
                 130,            0.030293,            0.011576,            0.010268,             0.94724,                   1,               0.995,             0.85796,            0.014999,           0.0066609,           0.0028369,           0.0036145,           0.0036145,           0.0036145
                 131,            0.036797,            0.020443,           0.0055865,             0.92003,             0.99974,               0.995,             0.71184,            0.016866,           0.0068701,           0.0040623,            0.003565,            0.003565,            0.003565
                 132,            0.031527,            0.012165,           0.0072851,             0.92003,             0.99974,               0.995,             0.71184,            0.016866,           0.0068701,           0.0040623,           0.0035155,           0.0035155,           0.0035155
                 133,            0.038341,            0.014941,           0.0057433,             0.87403,                   1,               0.995,              0.8092,            0.014689,           0.0063966,           0.0053018,            0.003466,            0.003466,            0.003466
                 134,            0.042744,            0.014319,           0.0051845,             0.87403,                   1,               0.995,              0.8092,            0.014689,           0.0063966,           0.0053018,           0.0034165,           0.0034165,           0.0034165
                 135,            0.037506,            0.012938,           0.0040645,             0.89406,                   1,               0.995,             0.77209,            0.014335,           0.0069074,           0.0049784,            0.003367,            0.003367,            0.003367
                 136,            0.036888,            0.015426,            0.015868,             0.89406,                   1,               0.995,             0.77209,            0.014335,           0.0069074,           0.0049784,           0.0033175,           0.0033175,           0.0033175
                 137,            0.033995,            0.011489,            0.007372,             0.96131,             0.91667,             0.97833,             0.66364,            0.018175,           0.0069074,           0.0019967,            0.003268,            0.003268,            0.003268
                 138,            0.039179,            0.016864,            0.018441,             0.96131,             0.91667,             0.97833,             0.66364,            0.018175,           0.0069074,           0.0019967,           0.0032185,           0.0032185,           0.0032185
                 139,            0.032578,            0.010835,           0.0033842,             0.97634,                   1,               0.995,             0.82569,            0.011612,           0.0061257,           0.0014413,            0.003169,            0.003169,            0.003169
                 140,            0.035796,            0.015424,           0.0053523,             0.97634,                   1,               0.995,             0.82569,            0.011612,           0.0061257,           0.0014413,           0.0031195,           0.0031195,           0.0031195
                 141,            0.038639,            0.011811,            0.019997,             0.98091,                   1,               0.995,             0.76267,            0.013121,           0.0059897,           0.0013149,             0.00307,             0.00307,             0.00307
                 142,            0.030621,            0.012844,           0.0041648,             0.98091,                   1,               0.995,             0.76267,            0.013121,           0.0059897,           0.0013149,           0.0030205,           0.0030205,           0.0030205
                 143,            0.036602,            0.015387,            0.012641,             0.98327,                   1,               0.995,             0.78845,            0.011465,           0.0059585,           0.0012514,            0.002971,            0.002971,            0.002971
                 144,            0.042506,            0.011516,            0.019101,             0.98327,                   1,               0.995,             0.78845,            0.011465,           0.0059585,           0.0012514,           0.0029215,           0.0029215,           0.0029215
                 145,             0.03258,            0.015976,            0.011565,             0.98333,             0.99934,               0.995,             0.74221,            0.013746,           0.0061123,           0.0012063,            0.002872,            0.002872,            0.002872
                 146,            0.033698,            0.013422,            0.008017,             0.98333,             0.99934,               0.995,             0.74221,            0.013746,           0.0061123,           0.0012063,           0.0028225,           0.0028225,           0.0028225
                 147,            0.039684,            0.020724,            0.018884,             0.98187,                   1,               0.995,             0.81048,            0.013056,           0.0060929,           0.0011613,            0.002773,            0.002773,            0.002773
