               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.035579,            0.015936,           0.0035225,             0.98429,             0.99983,               0.995,             0.72936,            0.018731,           0.0059446,           0.0013614,            0.005611,            0.005611,            0.005611
                 135,            0.035985,            0.014765,           0.0031011,             0.97991,                   1,               0.995,             0.71652,            0.013965,           0.0055254,           0.0013826,            0.005578,            0.005578,            0.005578
                 136,            0.030036,            0.013247,           0.0030572,             0.97991,                   1,               0.995,             0.71652,            0.013965,           0.0055254,           0.0013826,            0.005545,            0.005545,            0.005545
                 137,            0.038474,            0.013254,           0.0066678,             0.98354,             0.99981,               0.995,             0.73825,            0.019678,           0.0060566,           0.0012973,            0.005512,            0.005512,            0.005512
                 138,            0.038158,            0.013716,           0.0036251,             0.98354,             0.99981,               0.995,             0.73825,            0.019678,           0.0060566,           0.0012973,            0.005479,            0.005479,            0.005479
                 139,            0.036305,             0.01422,           0.0028395,             0.97668,                   1,               0.995,             0.54239,             0.01929,           0.0057132,           0.0013613,            0.005446,            0.005446,            0.005446
                 140,            0.038576,            0.013567,           0.0038072,             0.97668,                   1,               0.995,             0.54239,             0.01929,           0.0057132,           0.0013613,            0.005413,            0.005413,            0.005413
                 141,            0.037019,            0.011649,            0.004623,             0.83103,             0.91667,             0.92972,             0.70753,            0.016794,           0.0057099,           0.0013496,             0.00538,             0.00538,             0.00538
                 142,            0.030243,            0.012919,            0.003236,             0.83103,             0.91667,             0.92972,             0.70753,            0.016794,           0.0057099,           0.0013496,            0.005347,            0.005347,            0.005347
                 143,            0.034616,            0.012993,           0.0044005,             0.97877,                   1,               0.995,             0.74339,              0.0162,           0.0055433,           0.0013635,            0.005314,            0.005314,            0.005314
                 144,            0.038559,             0.01502,           0.0037274,             0.97877,                   1,               0.995,             0.74339,              0.0162,           0.0055433,           0.0013635,            0.005281,            0.005281,            0.005281
                 145,            0.035435,            0.012194,           0.0031865,             0.91289,              0.9998,             0.97833,             0.68148,            0.017837,           0.0056486,           0.0013591,            0.005248,            0.005248,            0.005248
                 146,            0.034536,            0.014172,           0.0030853,             0.91289,              0.9998,             0.97833,             0.68148,            0.017837,           0.0056486,           0.0013591,            0.005215,            0.005215,            0.005215
                 147,             0.03319,            0.012655,           0.0027813,             0.95058,                   1,               0.995,             0.73958,            0.016161,           0.0054092,           0.0013592,            0.005182,            0.005182,            0.005182
                 148,             0.03758,            0.014401,           0.0032182,             0.95058,                   1,               0.995,             0.73958,            0.016161,           0.0054092,           0.0013592,            0.005149,            0.005149,            0.005149
                 149,            0.037148,            0.014691,            0.006539,             0.87717,             0.99972,             0.98389,             0.73697,            0.015226,           0.0056339,           0.0013465,            0.005116,            0.005116,            0.005116
                 150,            0.034662,            0.012733,           0.0025428,             0.87717,             0.99972,             0.98389,             0.73697,            0.015226,           0.0056339,           0.0013465,            0.005083,            0.005083,            0.005083
                 151,            0.040907,            0.015037,           0.0031035,             0.87261,             0.99965,               0.995,             0.82599,            0.013263,           0.0051086,           0.0013417,             0.00505,             0.00505,             0.00505
                 152,            0.035101,             0.01439,           0.0026191,             0.87261,             0.99965,               0.995,             0.82599,            0.013263,           0.0051086,           0.0013417,            0.005017,            0.005017,            0.005017
                 153,            0.032551,             0.01578,           0.0027555,             0.77897,                   1,             0.97595,             0.64835,            0.017409,           0.0057022,           0.0013139,            0.004984,            0.004984,            0.004984
                 154,            0.036991,            0.013957,           0.0026471,             0.77897,                   1,             0.97595,             0.64835,            0.017409,           0.0057022,           0.0013139,            0.004951,            0.004951,            0.004951
                 155,            0.038986,           0.0090158,           0.0021715,             0.83224,                   1,             0.92595,             0.67786,            0.018138,           0.0056103,           0.0012831,            0.004918,            0.004918,            0.004918
                 156,            0.034292,            0.015902,           0.0027957,             0.83224,                   1,             0.92595,             0.67786,            0.018138,           0.0056103,           0.0012831,            0.004885,            0.004885,            0.004885
                 157,            0.031567,            0.014548,            0.002689,             0.88722,                   1,               0.945,             0.66269,            0.015305,           0.0056399,           0.0013012,            0.004852,            0.004852,            0.004852
